date,commodity,price_per_quintal
2024-03-08,Mustard,5890
2024-03-09,Mustard,5910
2024-03-10,Mustard,5930
2024-03-11,Mustard,5920
2024-03-12,Mustard,5940
2024-03-13,Mustard,5960
2024-03-14,Mustard,5950
2024-03-15,Mustard,5970
2024-03-16,Mustard,5990
2024-03-17,Mustard,5980
2024-03-18,Mustard,6000
2024-03-19,Mustard,6020
2024-03-20,Mustard,6010
2024-03-21,Mustard,6030
2024-03-22,Mustard,6050
2024-03-23,Mustard,6040
2024-03-24,Mustard,6060
2024-03-25,Mustard,6080
2024-03-26,Mustard,6070
2024-03-27,Mustard,6090
2024-03-28,Mustard,6110
2024-03-29,Mustard,6100
2024-03-30,Mustard,6120
2024-01-01,Groundnut,5800
2024-01-02,Groundnut,5820
2024-01-03,Groundnut,5790
2024-01-04,Groundnut,5810
2024-01-05,Groundnut,5840
2024-01-06,Groundnut,5860
2024-01-07,Groundnut,5830
2024-01-08,Groundnut,5850
2024-01-09,Groundnut,5880
2024-01-10,Groundnut,5900
2024-01-11,Groundnut,5920
2024-01-12,Groundnut,5910
2024-01-13,Groundnut,5930
2024-01-14,Groundnut,5950
2024-01-15,Groundnut,5940
2024-01-16,Groundnut,5960
2024-01-17,Groundnut,5980
2024-01-18,Groundnut,5970
2024-01-19,Groundnut,5990
2024-01-20,Groundnut,6010
2024-01-21,Groundnut,6030
2024-01-22,Groundnut,6020
2024-01-23,Groundnut,6040
2024-01-24,Groundnut,6060
2024-01-25,Groundnut,6050
2024-01-26,Groundnut,6070
2024-01-27,Groundnut,6090
2024-01-28,Groundnut,6080
2024-01-29,Groundnut,6100
2024-01-30,Groundnut,6120
2024-01-31,Groundnut,6140
2024-02-01,Groundnut,6130
2024-02-02,Groundnut,6150
2024-02-03,Groundnut,6170
2024-02-04,Groundnut,6160
2024-02-05,Groundnut,6180
2024-02-06,Groundnut,6200
2024-02-07,Groundnut,6190
2024-02-08,Groundnut,6210
2024-02-09,Groundnut,6230
2024-02-10,Groundnut,6220
2024-02-11,Groundnut,6240
2024-02-12,Groundnut,6260
2024-02-13,Groundnut,6250
2024-02-14,Groundnut,6270
2024-02-15,Groundnut,6290
2024-02-16,Groundnut,6280
2024-02-17,Groundnut,6300
2024-02-18,Groundnut,6320
2024-02-19,Groundnut,6310
2024-02-20,Groundnut,6330
2024-02-21,Groundnut,6350
2024-02-22,Groundnut,6340
2024-02-23,Groundnut,6360
2024-02-24,Groundnut,6380
2024-02-25,Groundnut,6370
2024-02-26,Groundnut,6390
2024-02-27,Groundnut,6410
2024-02-28,Groundnut,6400
2024-02-29,Groundnut,6420
2024-03-01,Groundnut,6440
2024-03-02,Groundnut,6430
2024-03-03,Groundnut,6450
2024-03-04,Groundnut,6470
2024-03-05,Groundnut,6460
2024-03-06,Groundnut,6480
2024-03-07,Groundnut,6500
2024-03-08,Groundnut,6490
2024-03-09,Groundnut,6510
2024-03-10,Groundnut,6530
2024-03-11,Groundnut,6520
2024-03-12,Groundnut,6540
2024-03-13,Groundnut,6560
2024-03-14,Groundnut,6550
2024-03-15,Groundnut,6570
2024-03-16,Groundnut,6590
2024-03-17,Groundnut,6580
2024-03-18,Groundnut,6600
2024-03-19,Groundnut,6620
2024-03-20,Groundnut,6610
2024-03-21,Groundnut,6630
2024-03-22,Groundnut,6650
2024-03-23,Groundnut,6640
2024-03-24,Groundnut,6660
2024-03-25,Groundnut,6680
2024-03-26,Groundnut,6670
2024-03-27,Groundnut,6690
2024-03-28,Groundnut,6710
2024-03-29,Groundnut,6700
2024-03-30,Groundnut,6720
